Time;°C(1)K;°C(2)K;°C(3)K
00:01:16;27,1;20,4;26,3
00:01:22;32,9;20,4;27,3
00:01:26;38;20,5;28,1
00:01:30;44,1;20,4;28,9
00:01:33;49,3;20,4;29,7
00:01:36;54,9;20,4;30,5
00:01:40;62,3;20,4;31,6
00:01:42;67,8;20,4;32,3
00:01:45;73,4;20,4;33,2
00:01:47;78,9;20,5;33,9
00:01:50;85,5;20,4;34,9
00:01:53;93,2;20,4;36,1
00:01:56;99,3;20,5;37,1
00:01:59;107,1;20,4;38,4
00:02:02;115,9;20,4;39,9
00:02:07;126,9;20,5;41,8
00:02:10;135,4;20,5;43,4
00:02:13;140;20,4;45
00:02:16;149,9;20,4;46,4
00:02:19;156,7;20,5;47,8
00:02:21;164,1;20,4;49,4
00:02:24;170,9;20,5;51
00:02:27;177,5;20,4;52,6
00:02:29;183,9;20,5;54,2
00:02:32;190,1;20,4;55,7
00:02:35;198,6;20,5;58
00:02:39;207,6;20,4;60,4
00:02:41;212,8;20,5;61,9
00:02:43;218,7;20,4;63,6
00:02:46;225,1;20,5;65,5
00:02:48;231,7;20,5;67,5
00:02:51;237,5;20,4;69,4
00:02:54;245,5;20,4;72
00:02:56;251,7;20,4;74,1
00:02:59;257,4;20,4;76,1
00:03:02;264,5;20,4;78,6
00:03:04;270,4;20,4;80,9
00:03:07;277,6;20,4;83,6
00:03:10;284,5;20,4;86,4
00:03:13;290;20,4;88,7
00:03:16;296,1;20,5;91,2
00:03:18;301,2;20,5;93,3
00:03:21;307,7;20,4;96,2
00:03:23;313,1;20,4;98,6
00:03:26;318,6;20,5;101,2
00:03:28;324;20,4;103,7
00:03:32;331;20,3;107,2
00:03:36;339,7;20,4;111,5
00:03:39;347,2;20,4;115,4
00:03:43;354,8;20,4;119,5
00:03:45;359,8;20,3;122,2
00:03:48;364,8;20,4;124,9
00:03:51;372,2;20,3;129
00:03:55;379,1;20,4;133,1
00:03:58;385,8;20,3;137,5
00:04:02;391,5;20,4;141,6
00:04:03;393,4;20,4;179,8
00:04:06;396,5;20,4;145,6
00:04:11;402,2;20,4;152,2
00:04:15;405,5;20,3;157,5
00:04:20;408,1;20,3;163,2
00:04:24;409,8;20,4;168,5
00:04:29;411,2;20,3;174,4
00:04:33;411,9;20,4;180,5
00:04:38;412;20,4;186,4
00:04:43;411,9;20,4;192,7
00:04:47;411,5;20,4;198
00:04:51;410,8;20,4;203,6
00:04:56;409,8;20,4;209,9
00:05:01;408,8;20,4;216,2
00:05:05;407,6;20,4;222,4
00:05:10;406,3;20,4;228,4
00:05:14;405,1;20,4;233,6
00:05:18;403,9;20,4;239
00:05:22;402,4;20,4;245,2
00:05:26;401,1;20,4;250,6
00:05:32;399,1;20,4;258,4
00:05:36;397,6;20,4;264
00:05:41;395,7;20,4;270,9
00:05:45;394,3;20,4;276,4
00:05:49;393;20,4;281,5
00:05:53;391,5;20,4;286,9
00:05:57;389,8;20,4;293,6
00:06:01;388,4;20,4;298,7
00:06:05;387;20,4;303,9
00:06:09;385,4;20,4;310,2
00:06:14;383,5;20,4;317
00:06:19;381,8;20,4;323,8
00:06:23;380,4;20,4;329,2
00:06:28;378,8;20,4;335,4
00:06:33;377,1;20,4;341,9
00:06:36;375,7;20,3;347,1
00:06:41;374,2;20,3;353,1
00:06:46;372,5;20,3;359,4
00:06:50;371,1;20,3;365,5
00:06:54;369,6;20,4;371,3
00:06:58;368,4;20,4;376,3
00:07:03;366,6;20,4;383,3
00:07:08;365,2;20,4;389,2
00:07:13;363,6;20,3;395,9
00:07:18;361,9;20,3;402,7
00:07:23;360,3;20,3;409,2
00:07:29;358,1;20,4;417,5
00:07:33;356,9;20,4;422,5
00:07:37;355,7;20,4;427,5
00:07:42;354,3;20,3;433,4
00:07:48;352,6;20,4;440,2
00:07:53;350,9;20,3;447,1
00:07:58;349,5;20,3;453,1
00:08:03;348;20,3;459,3
00:08:07;346,7;20,3;464,3
00:08:13;345,1;20,3;470,6
00:08:18;343,6;20,4;476,5
00:08:23;342,2;20,4;482,3
00:08:28;340,5;20,4;488,8
00:08:33;339,2;20,4;494,4
00:08:38;337,9;20,4;499,7
00:08:43;336,4;20,4;506,2
00:08:48;334,9;20,3;511,4
00:08:53;333,8;20,3;516,4
00:08:57;332,5;20,3;521,6
00:09:02;331,1;20,3;526,8
00:09:07;329,8;20,4;532,5
00:09:13;328,3;20,3;538,6
00:09:18;327;20,3;544,1
00:09:24;325,5;20,4;550
00:09:30;324;20,4;555,7
00:09:36;322,4;20,4;561,8
00:09:41;321,1;20,3;566,8
00:09:47;319,7;20,3;572,8
00:09:53;319;20,4;578,7
00:10:00;319,3;20,4;584,7
00:10:06;320,6;20,4;590,9
00:10:12;322,4;20,4;596,8
00:10:18;324,3;20,3;602,1
00:10:24;326,3;20,3;607,4
00:10:30;328,2;20,3;613,1
00:10:36;329,6;20,3;618,7
00:10:43;330,5;20,3;624,5
00:10:49;330,7;20,3;630,2
00:10:56;330,7;20,3;635,8
00:11:03;330,2;20,3;641,6
00:11:08;329,7;20,3;646,7
00:11:15;328,9;20,3;652,3
00:11:22;327,8;20,3;657,6
00:11:29;326,6;20,3;663,4
00:11:36;325,3;20,3;669,3
00:11:43;323,8;20,3;675,2
00:11:51;322,3;20,3;680,5
00:11:57;320,9;20,4;686
00:12:05;319,2;20,3;691,3
00:12:13;317,5;20,4;696,4
00:12:22;315,6;20,3;701,8
00:12:33;313,1;20,4;707,5
00:12:43;310,9;20,4;712,7
00:12:56;308,1;20,3;718,1
00:13:07;305,8;20,4;723,2
00:13:23;302,4;20,4;728,9
00:13:41;298,6;20,4;734,6
00:14:06;293,9;20,3;739,8
00:14:26;292,3;20,3;745
00:14:52;294,1;20,4;750,4
00:15:25;299,2;20,3;754,5
00:16:02;298,5;20,4;759,6
00:16:39;293,5;20,4;762,4
00:17:56;298,6;20,3;765,8
00:19:10;293,6;20,3;767,9
00:20:30;298,8;20,3;766,3
00:21:37;293,6;20,3;766,6
